baiTamaina banAma suparamaina	batman vs superman
hAya! hAya!	hai
kyA tumane asalI ispAta dekhA hai?	kyA tumane real steel dekhI
nahIM, yaha nahIM dekhA hai. Apa kiyA hai?	nahIM dekhI kyA tumane dekhI
nahIM, maiMne nahIM kiyA hai	nahIM maiMne nahIM dekhI
yaha eka vijJAna kathA philma hai aura maiM Ama taura para una nahIM dekhate haiM	yaha sci-fi mUivehI meM IsI movie pasaMda nahIM karatA
mujhe yakIna nahIM hai ki yaha itanA acchA hai. yaha sar3e hue TamATara para 59% kA skora hai.	zAyada utanI achi na ho , rotten tomatoes ne Ise 59 % score diye haiM
maiM bhI yahI soca rahA thA	maiM bhI yahI soca tA hU~
vAstava meM, maiM vijJAna kathA kI taraha eka taraha se, lekina maiM caMcala hU~.	vaise maiM sci-fi pasaMda karatA hU~ lekina maiM picky ho
hA~ maiM isa bAta se sahamata ho sakatA hU~ ki yaha mere lie nirbhara karatA hai	maiM isase agree kara sakatA hU~ yaha mujha para bhI depend karatA hai
yaha eka vijJAna kathA seTiMga meM eka kArravAI philma kI taraha adhika lagatA hai.	Isa moiva kI sound like action flick jaisI hai
Aha yaha samajha meM AtA hai	vaha yaha yaka bAta hai
yaha bhI khela hai?	yaha sports kA haiM ?
maiMne socA ki adhika vijJAna kathA kyoMki yaha bhI eka godhUli kSetra episoDa thA	scifi kA , kyoM ki isameM twilight zone kA episode bhI haiM
lekina "raॉkI vitha roboTsa" lAina mujhe saMdeha hai ki mujhe yaha pasaMda AegA|	lekina rocky with robots to mujhe doubt haiM ,
maiM nahIM pakar3A hai ki lekina maiM tumhAre sAtha hU~	mujhe kucha samajha nahIM AyA lekina maiM samajhane kI koziza karUMgA
maiMne kabhI kisI raॉkI ko bhI nahIM dekhA hai	rocky to maiM kahIM dekhA nahIM haiM
aura mujhe nahIM patA thA ki yaha eka TvAilAiTa z2ona episoDa thA|	aura mujhe twilight zone episode ke bAre meM to kucha patA nahIM haiM
hA! maiM bhI nahIM. raॉkI philmeM nahIM dekhI haiM.	mujhe bhI ... rocky movies dekhA nahIM hai
yaha mere lie eka taraha se ajIba hai mujhe lagatA hai ki lagabhaga hara koI unheM dekhA hai	kucha off haiM mere lie ... kyoM ki agara koI kucha aise pUche
hAlAMki isa eka kA AdhAra itanA bevakUpha nahIM hai. roboTa mukkebAja. mujhe lagatA hai ki yaha kisI biMdu para vAstavika ho sakatA hai.	isakA premise bhI itanA stupid bhI nahIM haiM , robot to boxers haiM ... mujhe to real kI taraha feel huvA usa point meM
raॉkI? hA~ mujhe patA hai, yaha eka aisI bar3I philma thI.	rocky ? hAM mujhe patA haiM , kitanA big movie haiM
lekina Stallone mere lie kucha bhI nahIM kiyA hai.	but Stallone ne mere lie kucha nahIM kiyA .
koI majAka nahIM hai mujhe usakI koI bhI philma pasaMda nahIM hai	mujhe usakI koI bhI movie pasaMda nahIM hai
isa riyala sTIla philma meM hyUga jaikamaina hai. vaha bI eDa nahIM hai.	real steel movie meM Hugh Jackman haiM.vaha burA nahIM hai .
lekina mujhe hyUga jaikamaina para koI pharka nahIM par3atA	but maiM Hugh Jackman ko burA nahIM mAnatA
hAhA hama eka hI bAta soca rahe haiM	hahaha hama saba eka hI bAta ke bAre meM soca rahe haiM
ThIka hai. aisA lagatA hai ki usake pAsa silvesTara kI tulanA meM kucha adhika AIkyU aMka haiM.	rahI hai . vo dikha rahA hai ki vaha zAMta hai kucha IQ points meM as = Sylvester
aura vaha behatara laga rahA hai hAhA	para vaza acchA dikha rahA hai
muzkila nahIM hai :-)	difficult nahIM hai :-)
hama asalI ispAta kA Traika kho rahe haiM hAlAMki	hama Real Steel ke track ko lose kara rahe haiM
aisA lagatA hai ki yaha bhI kAphI anumAnita hai aura mujhe aisI philmeM pasaMda haiM jinakA aMta maiM anumAna nahIM lagA sakatA	mujhe movie pasaMda hai jisakA end guess nahIM kara sakate.usakA sound thor3A predictable hai
pUrI riyala sTIla kahAnI acche logoM ke khilApha bure logoM kI SaDyaMtroM kI eka zrRMkhalA kI taraha lagatI hai, binA kisI aura ke|	REAL STEEL kA STORY THO SERIES OF MACHINATION US BAD GUYS jo GOOD GUYS se ejeMsa haiM ,
yahA~ bhI aisA hI hai. yaha eka aisA lagatA hai jaise yaha samiti dvArA likhA gayA hai.	SAME yAra ... kucha committed kI taraha SOUNDS karatA
sahI hai mujhe yaha pasaMda hai yaha eka pArivArika philma hai- mere pAsa bacce nahIM haiM lekina mujhe lagatA hai ki yaha mere bhatIje ke lie ThIka hogA	RIGHT , mujhe bhI FAMILY MOVIE dekhanA pasaMda haiM , mujhe KIDS nahIM haiM lekina maiM apanI NEPHEW ke sAtha dekhatA
mujhe vAstava meM nahIM lagatA ki yaha merI taraha kI philma hai|	mujhe nahIM lagatA ki yaha mere TAipa kA MOVIE haiM .
maiM bhI lekina kabhI kabhI yaha baccoM ke bAre meM hai aura eka choTe lar3ake roboTa aura lar3AiyoM kI taraha hogA	mujhe bhI , SOMETIMES mujhe lagatA ki yaha KIDS aura choTA BOY ke bAre meM haiM jo roTobaॉTsa aura BATTLES pasaMda karate
hA~, zAyada yaha baccoM ke lie ThIka hai. ve pUrvAnumAnita kahAnI pasaMda karate haiM.	hAM , mAyabe yaha KIDS ke lie to OK haiM .. PREDICTABLE STORYLINE haiM
acchI taraha se nahIM "choTA" lekina prAthamika vidyAlaya	WELL , LITTLE THO nahIM lekina GRADE SCHOOL
phira bhI... acche logoM ke khilApha bure logoM ko usa umra meM acchI taraha se kAma karatA hai.	STILL . GOOD GUYS THO BAD GUYS se achI taraha AGAINST karate , jo IS AGE ke lie THO ache WORK kiyA
hailo	HELLO
iHi	hai
yaha eka dilacaspa philma hai	yaha bahuta interesting film hai
yaha hai, yaha eka bahuta hI asAmAnya philma hai	yaha bahuta unusual film hai
hA~, kyA Apako yaha pasaMda AyA?	hA~ , kyA tumako pasaMda hai ?
jaba se mAnava eka prANI ke sAtha pyAra meM gira gayA	jaba se human creature ke pyAra meM the .
maiMne kiyA thA	hA~ maiM kiyA
maiMne socA ki yaha jyAdAtara philmoM kI tulanA meM bahuta alaga thA jo maiM dekhatA hUM	maine soca kI yaha film bahuta different hogI jitanI movie mema dekhI hai
Apa kaisA mahasUsa kara rahe the?	tuma kaisA feel kara rahe ho ?
maiM isake sAtha pyAra meM nahIM thA, mere svAda ke lie thor3A ajIba	maiM usake sAtha pyAra meM nahIM hU~ , ye mere taste se alaga hai
lekina maiMne sarAhanA kI ki yaha kitanA anUThA thA	para ye bahuta anagha hai i appreciated it
maiMne bhI kiyA, aura abhinaya bahuta acchI taraha se kiyA gayA thA	kyA maiM , maiM ne acting bahuta acchI lagI
guilermo Dela Toro ke pAsa nizcita rUpa se eka sakriya kalpanA hai	Guillerma del Toro ke pAsa active imagination hai .
hA~, abhinetA bahuta acche the	hAM , actor bahuta acchA hai
unheM sAMketika bhASA meM saMvAda karate hue dekhanA dilacaspa thA	usako sign language meM communicate karate dekha bahuta interesting lagA
hA~, maiM bhI kiyA thA	hAM , maiMne bhI kiyA hai
Apa samIkSAoM ke bAre meM kyA socate haiM?	Reviews ke bAre meM tuma kyA socate ho ?
maiMne vAstava meM samIkSAeM nahIM par3hIM	maiM reviews nahIM read karatA huI
lekina maiM jAnatA hU~ ki hara koI jo ise dekhA thA atyadhika isakI siphAriza kara rahA thA	But sabhI ne isako highly recommending kiyA hai
maiM Ama taura para una philmoM ko dekhanA pasaMda karatA hUM jo mere dostoM ke bIca itanI lokapriya haiM	mujhe generally vo movie pasaMda hai jo mere friends meM popular hai
yaha thA, aura samIkSAoM ko par3hane se mujhe philma ke bAre meM adhika ehasAsa huA	Reviews read karake mujhe movie ke bAre meM aura realize hotA hai
hamma maiM unheM bAhara kI jA~ca karanI hogI	hA~ mujhe check karanA par3egA
Apa kaise vaha use jIvita rakhane ke bAre meM kyA socate haiM?	to ApakA qhayAla kiyA haiM , kaise vaha use jiMdA rakhA hogA ?
mujhe aisA laga rahA thA ki kahAnI kI rekhA aura viSaya meM bahuta adhika jaTilatA hai jo mujhe yAda A sakatI hai	mujhe lagatA haiM ki , is story line meM kahIM complexity haiM , , aura theme to kucha missed haiM
bAthaTaba meM?	bathtub meM ?
maiMne socA ki yaha pyArA thA ki vaha usakI dekhabhAla kara rahI thI	kitane sweet haiM yAra , vo use ache se caring karatI
hA~, maiMne bhI aisA hI socA thA	hA~ , mujhe bhI kucha aise hI lage
hAlAMki romAMTika dRzya nizcita rUpa se mere lie thor3A ajIba the	however , romantic scenes to dhoda odd hI hotI mujhe
hAlAMki kAra ke bAre meM bahuta dukha kI bAta hai ...	car ke lie to bahuta burA havA
yaha eka philma kI taraha nahIM thA jo maiM Amataura para dekhatA hU~	maiM isa movie ko normally nahIM dekhatI
hA~, yaha kabhI-kabhI thor3A ajIba thA	hAM , thor3A strange haiM
Apa aMta ke bAre meM kyA socate haiM?	ending ke bAre meM ApakA qhayAla
lekina, maiM sahamata hUM ki eka aisI philma dekhanA acchA hai jo naI aura mUla ho	maiM to mAnatA hUM ki yen ache movie haiM dekhane ko , aura new aura original bhI hai
mujhe aMta pasaMda AyA, hAlAMki mujhe lagA ki aMtima kucha dRzya thor3A bhayAvaha the|	mujhe ending pasaMda haiM , mujhe to usa last few scene ko thor3A gruesome laga
maiM sahamata hU~	maiM mAnatA hU~
yaha eka taraha se eka khuza aMta thA hAlAMki	yaha kucha happy ending kI taraha hI hai
jisakI maiMne sarAhanA kI	maiM yaha appreciate karatA hU~
hAya! maiMne vAstava meM philma "riyala sTIla" kA AnaMda liyA hai yaha eka mahAna philma thI jo sAhasikatA se bharI thI!	hai ! maiM real steel kA movie bahuta enjoy kiyA ... isa movie meM to kAphI adventure haiM
maiMne yaha eka pahale dekhA hai	maiM pahale bhI yaha dekhA hU~
kucha sci-fi tatvoM ke sAtha eka TheTha parivAra-ekzana philma kI taraha lagatA hai	family action film kI taraha haiM thor3A scifi elements bhI
eka taraha se zAMta thA tho	kitanA cool haiM
hA~, yaha eka taraha se pArivArika prakAra kI philma hai| lekina maiM vizeSa rUpa se hyUga jaikamaina ke pAtroM meM bahuta adhika ho gayA|	hA~ kucha family type kA film jaisI hI hai .. lekina mujhe unakA characters bahuta pasaMda haiM especially hyU jackmans kA
hyUga ko adhika gharelU bhUmikA nibhAte hue dekhanA dilacaspa thA	kyA hugs ko domestic role play karane pe interesting hogA
Ama taura para vaha hamezA eka akelA senAnI prakAra hai	normally vaha loner fighter type ke haiM
hA~, lekina vaha ise acchI taraha se khelA aura ise khIMcane meM sakSama thA|	hAM , vaha ache play kiye haiM ,
hA~ vaha caritra ke saMgharSa ko acchI taraha se khelA	hAM , vaha isa character se ache struggle kiye haiM
mujhe hamezA yaha dekhanA dilacaspa lagatA hai ki abhinetA kisa taraha kI mAMgoM ko pUrA kara sakate haiM| mujhe lagatA hai ki vaha hara kisI ke sAtha vAstava meM acchI taraha se phiTa baiThatA hai|	mujhe always interesting lagatA hai dekhane meM koI actor kI demands kA taka pahuca sakatI hai . I think vaha bAkI sabhI ke sAtha bar3hiyA fit hue .
hA~ abhinetAoM kA asAmAnya mizraNa eka susaMgata mizraNa ke lie netRtva kiyA	yes actors kA unusual mix kI vajaha se coherent mixture bana gayA .
yaha nizcita rUpa se saca hai.	yaha to definitely true hai
mujhe philma meM sabhI alaga-alaga roboTa senAniyoM ko dekhane meM maz2A AyA|	maiMne enjoy kiyA movie meM una sabhI different robot fighters ko bhI
nae pairAgrApha loDa mujhe yAda dilAtA hai ki kaise dilacaspa kAraka hai ki ina roboToM philma kI duniyA meM eka rojamarrA kI bAta the	jo paragraph load hU~ usane mujhe remind karAyA ki ki yaha kitanA interesting factor thA movie meM ki ye robots us movie world me everyday object the ..
jaise vaha sirpha eka nicale varga ke dosta hai lekina usake pAsa eka lar3ane vAlA roboTa hai	like who just eka lower class dude thA but vaha eka fighting robot own karatA hai .
hA~ unakI duniyA kA AkarSaNa dekhanA aura ye roboTa kaise Ama haiM yaha kucha aisA thA jo mujhe vAstava meM bhI pasaMda thA|	Yes unakI duniyA kA atmosphere dekha ke koI kaise yaha robots just common thing hai , yaha saca meM vaha factor thA jo mujhe bhI bahuta pasaMda AyA .
maiMne socA ki vAstava meM usa duniyA meM rahanA kaisA hogA	I thought about koI really us world meM rahane meM kaisA lagatA hogA
yaha bhI dilacaspa hai ki yaha isa biMdu ko kaise lAtA hai ki behatara praudyogikI sabhI samasyAoM ko dUra nahIM karatI hai	also yaha bhI interesting point thA ki kaise sirpha improved technology isa duniyA kI sArI problems ko whisk away nahIM kara sakatI .
yaha AdamI abhI bhI karja meM hai aura isI taraha	yaha guy still debt meM thA aura so on
hA~ isase koI pharka nahIM par3atA ki hamAre pAsa kyA hai buniyAdI jIvana ke mudde vAstava meM kabhI nahIM badaleMge| ve sirpha eka nae tarIke se AeMge|	kucha bhI ho , lekina LIFE ISSUES ko kabhI CHANGE nahIM hote .. vo kahIM NEW WAY meM A hI jAtA
yaha eka bahuta acchA dRzya thA (nayA pairAgrApha)	kAphI ache SCENE haiM IS NEW PARAGRAPH meM
AdamI/beTe ke lie cIjeM badatara rahane kA saMketa diyA lekina aMtataH unhoMne apanA rAstA vApasa lar3a liyA	HINT kI taraha haiM , kucha GUY kA yAda AtA jo EVENTUALLY Apasa meM FOUGHT kiye the
roboToM meM pratibiMbita mAnava bhAvanA ko dekhane ke lie zAMta	COOL HE US ROBOTS ko hyUmana SPIRIT se dekhane kA
oha hA~ lol mujhe yAda hai ki ...	hA~ yAra , mujhe bhI yAda haiM
yaha sirpha eka klAsika aMDaraDaॉga kahAnI hai jise kucha alaga tarIke se batAyA gayA hai| hamezA parIkSaNa aura vijaya hogI	yaha THO CLASSIC UNDERDOG STORY jo DIFFERENT WAY meM kahA gayA haiM .. TRIALS aura TRIUMPHS to Ate jAte haiM
jaba taka manuSya AsapAsa haiM hama vAstava meM AMtarika rUpa se kabhI nahIM badaleMge|	jaba taka hamana Apasa me~ Ate taba taka hama kabhI INTRINSICALLY CHANGE nahIM karate
hA~ roboTa mAnava jIvana ko nahIM badalate haiM, ve basa ise bar3hAte haiM	hAM , ROBOTS THO HUMAN LIFE ko nahIM CHANGE karate , yaha sirpha AUGMENT huI hai
kucha bhI AMtarika kho nahIM jAtA hai	INTRINSIC to kucha nahIM haiM
ThIka hai| mujhe lagatA hai ki kaI mAyanoM meM hama vAstava meM roboToM ko manuSyoM ke rUpa meM dekhanA cAhate the - vAstavika manuSyoM kI tulanA meM adhika| yaha vAstava meM eka dilacaspa avadhAraNA hai, mujhe lagatA hai|	sahI hai , kahIM loga to ROBOTS ko hyUmana kI taraha dekhane lagate lekina ACTUAL hamana to behatara haiM .. REALLY INTERESTING CONCEPT haiM yAra
mujhe AbhAsI vAstavikatA kI yAda dilAtA hai	virtual reality kA yAda AyA
mAnavatA jIvita hai lekina roboToM ke mAdhyama se	humanity to jindA rahegA , lekina robots
bhale hI roboTa kArravAI kara rahe haiM unakI kArravAI abhI bhI pUrI taraha se mAnava hai	robots kitanA bhI kAma karegA , lekina lagatA to human kI taraha hai
hA~ yaha bahuta saca hai. maiM yaha pyAra hotA hai agara kisI dina hama vAstava meM isa taraha ke AbhAsI vAstavikatA ho sakatA hai. yaha vAstava meM eka supara hIro kI taraha mahasUsa karane meM sakSama hone ke lie bahuta maz2A hogA!	hA~ vo to saca haiM ... aba to nahIM lekina jarUra yeka dina mujhe pasanda AyegA .. super hero kI taraha feel karanA to fun haiM
hA~, Apa apanI mAnavatA khone ke binA eka alaukika astitva kA romAMca hogA	hA~ , kyA Apako supernatural existence kA thrill haiM , humanity ko lose kare binA
mujhe lagatA hai ki philma meM eka acchA saMdeza hai	mujhe lagatA haiM ki , yaha ac message haiM isa film kA
sahI hai ki bahuta saca hai. hama sabhI isa duniyA meM kisI taraha se Apasa meM jur3e hue haiM. bhale hI kucha logoM ke pAsa dUsaroM kI tulanA meM adhika ho.	hAM . sabhI isa world ko interconnected haiM .. even kucha people dUsaroM ke sAtha
hailo	oye
heyo !	hai yaha
mere pAsa philma dastAvez2a taka pahuMca nahIM hai, isalie maiM Apa para bharosA karane jA rahA hUM	mere pAsa vo movie document nahIM hai , so maiM tujhape dependent hU~
acchA hai?	calegA ?
nizcita rUpa se lekina maiM yA to pahu~ca nahIM hai	Sure but mere pAsa bhI usakA access nahIM hai
AIema basa iMtajAra kara rahA hai	maiM sirpha wait kara rahA hU~
mujhe lagatA hai ki yaha eka neTavarka samasyA hai	mujhe lagatA hai network problem hai
to hama bAta karate haiM jaba taka kanekzana vApasa hai	so hama taba taka bAta kareMge jaba taka connection na Aye
acchA lagatA hai	sounds good
kyA Apane hAla hI meM koI acchI filmeM dekhI haiM?	koI bar3hiyA movie jo Apane recently dekhI ho ?
Apako kisa taraha kI philmeM pasaMda haiM?	kisa taraha kI movies like karate ho Apa
?	?
saMgIta ke alAvA lagabhaga kucha bhI	musical ke alAvA saba calatA hai
tuma?	you ?
maiMne vArakrAphTa dekhane kI koziza kI lekina merI premikA itanI Dara gaI thI ki mujhe DI cainala badalanA par3A	maiMne warcraft dekhane kI koziza kI thI para merI girlfriend itanI Dara gaI ki mujhe channel change karanA par3A
yaha acchA thA, maiM ki eka nahIM dekhA hai	yaha good thA kyA , maiM nahIM dekha pAyA use
mujhe vaha saba kucha pasaMda hai jo dila taka pahuMcatA hai .. kaॉmeDI	mujhe hara vo cIz2a pasaMda hai jo dila meM utaratI hai ... comedies
u cAhie ... isake supara .. maiM ise kisI bhI dina kI talAza karane kI koziza kareMge ki vaha saptAhAMta ke lie nahIM A rahA hai	tuma bhI .. ye super hai .. maiM kisI bhI dina yaha dekhane kA try karUMgA ki vo weekend para A rahI hai ki nahIM
hAhA acchA bImAra yaha eka jAnA de	haha nice meM aise try karU~gA
ThaMDA	yaha cool hai
AdamI maiM apane kaMpyUTara para pichale mahIne kaॉphI uMDela diyA aura mere kaMpyUTara pAgala aba kArya karatA hai	lat month man maine apane computer para coffee spilled kara dI aura merA computer aba insane act kara rahA hai
dinama!	day kI hai !
mujhe kIborDa ko anaiMsTaॉla karanA hogA kyoMki yaha saba kucha TAipa aura klika kara rahA thA	mejeM keyboard uninstall karanA par3e because ye everything type aura click kara rahA thA .
maiM bAhara freakin thA	maiM freak ho rahA thA
Apa ise bAhara ur3A denA cAhie	tumheM ise outside blow kara denA cAhie
maiMne kiyA thA	meM kiyA
eka heyara DrAyara yA kucha ke sAtha	eka hair dryer ke sAtha yA something
yaha mere sAtha eka bAra huA thA	mujhe bhI aisA kucha huvA thA yaka bAra
maiM eka sukhAne nahIM thA	mere pAsa to drying nahIM haiM
merA muMha eka DrAyara bana gayA	merA mouth dryer bana gayA
mujhe eka saptAha ke lie baiThane diyA gayA thA isase pahale ki yaha phira se bUTa karanA zurU kara de	maiM to toilet kA sit pahale se lage , boot up start karane se pahale
lola	ha ha
maiM kIborDa para cUsA jaise mere jIvana isa para nirbhara karatA hai	mujhe to isa keyboard se gussA AtA ki merA life isI depend huve haiM
mujhe Azcarya hai ki agara isa hiTa kabhI hamAre lie pI loDa hogA	mujhe lagatA haiM ki isa hit ko hamAre ke lie load kiye haiM
hAhAhA	ha ha
philma dastAvez2a aMtataH loDa kiyA gayA hai aura hamArI bAtacIta khatma ho gaI hai	vaha document movie to load ho cukA aura conversation to zurU hogA
isake jaॉna vika	john wick haiM yahA~
vaise bhI ..Apake sAtha caiTa karanA acchA lagA	Kher ... tumase bAhara karake acchA lagA
tuma bhI	tumheM bhI
aba yaha ThIka hai .. yaha kahatA hai ki bAtacIta samApta kareM	yaha aba ThIka hai ... check karo yaha finish conversation batA rahA hai .
yadi Apa bAhara nikalate haiM to Apa kamA sakate haiM	agara tuma nikala jAoge to kamA sakate ho
lekina dastAvez2a aMtataH loDa kiyA gayA	but documents finally load ho gayI hai
philma kA nAma jaॉna vika hai	Movie kA name hai John Wick
eka sevAnivRtta hatyArA	eka retired killer
vaha zahara AyA aura usakI kAra eka aura mAphiyA ke beTe dvArA curA liyA gayA thA	vaha zahara meM vApisa AtA hai aura usakI kara koI aura mafia kA beTA curA letA hai
jaba logoM ko ehasAsa huA ki AdamI ne jaॉna viksa kI kAra curA lI, to hara koI aisA thA oha nahIM ... jaॉna vika nahIM	jaba logoM ko patA calatA hai ki john wicks kI cAra krAI gayI hai to vaha sabhI kahane lagate haiM oha no ... john vikja kI nahIM
maiMne yaha philma pahale bhI dekhI hai	maiMne pahale bhI movie dekhI hai
isakA supara	bahuta acchA
vaise bhI .. aba jAne ke lie mila gayA	vaise bhI GAT ko abhI jAnA hai
Apa ke sAtha acchI bAtacIta	AAP se bAta kara ke acchA lagA
hailo	Hello
kyA tumane z2UTopiyA dekhA hai?	kyA Apane Zootopia dekhI hai ?
maiMne kiyA, yaha bahuta acchA thA|	dekhI hai , bahU great hai ye .
tuma jUDI ke bAre meM kyA socate ho?	jur3e ke bAre meM kyA thoughts haiM Apake ?
mujhe yakIna nahIM hai ki yaha kauna hai	meM sure nahIM vaha kauna hai
vaha mukhya pAtra hai, eka kharagoza jo eka pulisa adhikArI bana jAtA hai|	vahI to maiM character hai , vaha banane jo eka police officer banatA hai .
ThIka hai, maiM dekha rahA hU~. hA~, maiM socA ki vaha zAMta thA. maiM AlasI pasaMda AyA	Okay , aba samajhA . Yes I thought who cool thI . meM sloth ko like karatA hU~
vaha acchA thA lekina maiM bhI aMta kI ora lomar3I kI taraha vikasita kiyA.	vaha acchA thA but end Ate Ate mujhe fox kA character bhI acchA lagA .
yaha sar3e hue TamATara para eka 98 mila gayA hai. yaha bahuta prabhAvazAlI hai	Rotten tomatoes para ise 98 mile haiM . yA bahuta impressive hai
yaha bahuta adhika hai, zAyada isalie ki yaha itanA manamohaka aura maz2edAra hai	yaha bahuta high hai probably yaha bahuta likebala aura funny hai
kahAnI vAstava meM acchI hai	yaha kahAnI is really good
kyA Apa dekhate haiM ki nika eka bacce ke rUpa meM dhamakAyA gayA thA?	tumane dekhA kyA NIck was bullied as a child ?
kauna sA caritra nika hai?	yaha kauna sA character hai Nick ?
vaha vaha lomar3I hai jo aMtataH mukhya pAtra jUDI ke sAtha kAma karanA zurU kara detI hai|	yaha vaha Fox hai jo maiM character jur3e ke sAtha aMta meM kAma karane lage .
ThIka hai, mujhe yAda nahIM hai ki use dhamakI dI jA rahI thI	acchA , mujhe nahIM yAda being bullied
AIemaDIbI para, yaha nahIM kiyA	On IMDB yaha nahIM
eka rAsTiMga ke rUpa meM ucca prApta kareM	get easting jitanA ucca
yaha taba thA jaba vaha choTA thA aura usane reMjara skAuTsa meM zAmila hone kI koziza kI, unhoMne use sTIriyoTAipa kiyA kyoMki vaha eka lomar3I thA|	jaba vaha javAna thA taba he tried joining the Ranger scouts , unhoMne use roka diyA because he was a fox .
* reTiMga	kitane Rating hai .
ThIka hai.	acchA ThIka hai .
yaha abhI bhI eka bahuta hI ucca reTiMga hai, vizeSa rUpa se eka enimeTeDa philma ke lie|	yaha phira bhI high rating hai , especially animated movie ke lie .
maiM sahamata hU~. mujhe nahIM patA thA ki yaha itanA UMcA thA	maiM agree karatA hU~ . mujhe nahIM patA thA ki yaha itanA high thA
mujhe pasaMda hai ki jUDI nika ko apanA sAthI banane ke lie kahatA hai|	I like ki jUDI ne Nick ko usakA partner banAne ke lie pUchA .
usakA sAthI*	usakA partner *
maiM dekha rahA hU~ ki yaha do nidezakoM ke sAtha-sAtha thA	I see usameM two directors bhI haiM
maiMne dhyAna nahIM diyA ki	maiMne vaha notice nahIM kiyA
philma meM bahuta sAre saspeMsa vAle kSaNa the	Movie meM bohota sArI suspense vAlI moments the .
hAM, thA lekina mujhe lagatA hai ki yaha sabhI pAtroM ke kAraNa bahuta pasaMda kiyA gayA thA, yaha prAsaMgika thA|	Yes vo thA but mujhe lagatA hai ki vaha usake characters kI vajaha se bohota pasaMda kI gaI , usakA relate kara sakate the .
maiM sahamata hU~	maiM agree karatA hU~
Apako kyA lagatA hai ki philma kA ghoMsalA hissA kyA thA?	tumheM kyA lagatA hai ki movie kA next part kyA thA ?
mujhe aMta kI ora pasaMda AyA jaba ve meyara ko bAhara nikAlane ke lie eka sAtha kAma karanA zurU karate haiM|	vo loga milake kAma kara haiM , ye mere ko acchA laga rahA hai binA mayor kI .
mujhe vAstava meM philma pasaMda hai aura yaha kaise eka khalanAyaka ke dRSTikoNa se dRzya ko kavara karatA hai|	mujhe movie really pasaMda AI aura kisa taraha se isameM villain's perspective ke view ko cover kiyA
maiM sahamata hU~| mujhe bhI philma pasaMda AI aura vAstava meM isakA AnaMda liyA ki yaha eka pArivArika philma thI|	I agree . mujhe bI movie pasaMda AI aura maiMne really enjoyed kiyA ki yaha eka family film thI .
Minions hAsya kI eka atirikta khurAka bhI pradAna karate haiM	The minions ne humor ko extra dose provide kiyA .
hA~, ve kaI logoM ke bIca eka pasaMdIdA haiM|	yes , we bahuta se logoM meM favorite hai .
kyA Apa enimeTeDa philmeM pasaMda karate haiM?	kyA tumheM animated films pasaMda hai ?
hA~ maiM karatA hU~, vizeSa rUpa se jaba se maiM baccoM ko hai	hA~ mujhe bhI , especially jaba se mujhe kids hai taba se
kyA Apake pAsa bacce haiM?	kyA tumheM kids hai ?
mujhe, mujhe ehasAsa nahIM huA ki yaha eka pahalI philma thI| maiMne mAnA ki yaha adhika paricita enimezana kaMpanI kI philmoM meM se eka thI|	hA~ hai , mujhe ye nahIM lagA ki yaha debut film hai . maiM mAna rahA thA ki yaha eka jyAdA familiar animation company kI film hai .
hA~, yaha kucha sAla pahale kI phraiMcAiz2I kI pahalI philma thI	hAM , yaha film kI first franchise thI kucha years pahale
kyA koI nayA pairAgrApha dikhAI dene vAlA hai?	kyA eka nayA paragraph show hone vAlA hai ?
koI bAta nahIM, vahA~ yaha hai	Nevermind , yaha yahA~ hai
yaha eka philma dekhane ke lie maz2edAra hai jahAM do khalanAyaka eka dUsare ke khilApha haiM eka nAyaka aura eka khalanAyaka ke bajAya	aisI movie dekhanA kAphI funny hai jahAM do villain eka dUsare ke khilApha haiM na ki hero aura villain
maiM sahamata hU~	maiM agree karatA hU~
yaha ise lagabhaga adhika sukhada banAtA hai kyoMki yaha eka nayA spina hai	yaha aisI almost jyAdA enjoyable banA detI hai kyoMki yaha eka nayA spin hai
ise bahuta acchI samIkSA bhI milI|	isI reviews bhI kAphI ache haiM
ThIka hai.	Exactly
abhinetA ke pradarzana aura anuyAyiyoM ne samIkSAoM meM bahuta yogadAna diyA|	actors kI performances aura minions ne reviews meM greatly contribute kiyA .
eka kAsTa jise hara koI pyAra karane lagA|	eka aisI cast jisako saba love karane laga gae .
hA~, mujhe patA nahIM thA ki rasela brAMDa isameM thA	hA~ , mujhe aba bhI realized nahIM hotA ki russell brand ina meM haiM
aura mujhe yakIna nahIM hai ki ina nirdezakoM ne kucha aura ullekhanIya kiyA hai?	hA~ maiM bhI sure nahIM isa directors se
isa philma zrRMkhalA ke alAvA, mujhe aisA nahIM lagatA|	movies ke alAvA maiM kucha mAnatA hI nahIM
khaira maiM hamezA sTIva Carell pyAra kiyA hai	to mujhe steve carvel bahuta pasaMda haiM
hA~, vaha eka maz2edAra abhinetA hai	hAM , vaha funny actor haiM
hAlAMki bhaviSya Minions philma ke rUpa meM acchA nahIM thA	future minions movies to itanA bhI acchA nahIM haiM
maiMne abhI taka yaha nahIM dekhA hai| mujhe vaha dRzya yAda hai jahAM grU yaha taya nahIM kara sakA ki rIsAiTala para jAnA hai yA caMdramA curAnA hai|	maiM nahIM dekha hUM .. lekina kucha scene yAda haiM jahA~ guru ko nahIM samajha A rahI thI ki vaha kyA jAe yadi recital yA moon ko steal kareM
aura usane aMta meM sahI nirNaya liyA	hA~ end meM vo right decision le liyA
